"STAID","Name","CoastDist","Model","k","AUC"
229,"BADAJO",163,"m2",41,0.932654840488942
230,"MADRID",303,"m2",41,0.934465138936393
231,"MALAGA",1.7,"m2",41,0.672201655052265
232,"NAVACE",290.6,"m2",41,0.928973717146433
233,"SALAMA",259.9,"m2",41,0.908885567181531
234,"SAN SE",0.9,"m2",41,0.914721958893887
236,"TORTOS",17.6,"m2",41,0.814279520161873
237,"VALENC",3.1,"m2",41,0.662914044263215
238,"ZARAGO",172.1,"m2",41,0.915064952730735
335,"FABRA ",8.3,"m2",41,0.77578442229605
336,"ALBACE",136,"m2",41,0.913122460361724
414,"BURGOS",118.2,"m2",41,0.945920027399606
416,"CIUDAD",248.3,"m2",41,0.93888541519595
420,"A CORU",1.4,"m2",41,0.823399914089347
421,"MURCIA",39,"m2",41,0.84117202268431
423,"SEVILL",60.6,"m2",41,0.92291090986103
424,"SORIA ",170.5,"m2",41,0.925947013504617
1393,"BILBAO",8.7,"m2",41,0.90198754789272
1394,"SANTIA",34.3,"m2",41,0.898383805841924
1396,"PONFER",107.8,"m2",41,0.923232469126887
1397,"LEON V",103.8,"m2",41,0.921357832953468
1398,"LOGRON",94.3,"m2",41,0.928752903600465
1399,"ZAMORA",222.6,"m2",41,0.922554813292223
1401,"REUS/A",6,"m2",41,0.729307282415631
2969,"BCN/AE",1.4,"m2",41,0.742325599747475
3905,"VITORI",54.7,"m2",41,0.946799992882942
3908,"ALMERI",1.1,"m2",41,0.764839319470699
3910,"GIJON ",2,"m2",41,0.644611443210931
3921,"CACERE",211.1,"m2",41,0.904619419042496
3922,"SANTAN",0.2,"m2",41,0.774311440677966
3924,"CASTEL",6,"m2",41,0.834406206156639
3937,"HUELVA",2.9,"m2",41,0.887396671320613
3943,"LLEIDA",71.1,"m2",41,0.937792070145011
3963,"MORON ",57.3,"m2",41,0.935519456256783
3970,"VALLAD",189.4,"m2",41,0.940680628272251
3971,"DAROCA",172,"m2",41,0.943989128455148
