"STAID","STAAB","AUC"
229,"BADAJO",0.941515577460278
230,"MADRID",0.935584507115243
231,"MALAGA",0.882150116144019
232,"NAVACE",0.947525552774301
233,"SALAMA",0.927631069036151
234,"SAN SE",0.906674196736521
236,"TORTOS",0.823794382617912
237,"VALENC",0.844192299737021
238,"ZARAGO",0.895123444195062
335,"FABRA ",0.850621385505106
336,"ALBACE",0.924404429925902
414,"BURGOS",0.956708622313554
416,"CIUDAD",0.947195385142903
420,"A CORU",0.788606099656357
421,"MURCIA",0.862533081285444
423,"SEVILL",0.923677363399827
424,"SORIA ",0.948045477999395
1393,"BILBAO",0.906585249042146
1394,"SANTIA",0.919834621993127
1396,"PONFER",0.941749115331841
1397,"LEON V",0.94348413642873
1398,"LOGRON",0.928934378629501
1399,"ZAMORA",0.940422661870504
1401,"REUS/A",0.796993148946968
2969,"BCN/AE",0.818438289141414
3905,"VITORI",0.94697791932815
3908,"ALMERI",0.862495274102079
3910,"GIJON ",0.685909479077711
3921,"CACERE",0.939618074233459
3922,"SANTAN",0.878601694915254
3924,"CASTEL",0.840451431872576
3937,"HUELVA",0.859805420738869
3943,"LLEIDA",0.923170496699908
3963,"MORON ",0.939166948383538
3970,"VALLAD",0.964537521815009
3971,"DAROCA",0.935527255915605
